Hybrid Sort data: (n,k,time)
10000,1,0.013838645070791245
10000,3,0.012425188906490803
10000,5,0.015295145101845264
10000,7,0.014313415313760439
10000,9,0.012577779591083527
10000,11,0.010213234151403109
10000,13,0.011086583447953066
10000,15,0.010844377179940542
10000,17,0.011520078405737877
10000,19,0.010514306525389353
10000,21,0.010696638375520706
10000,23,0.010408502072095871
10000,25,0.010282409377396107
90000,1,0.13263660203665495
90000,3,0.1257148984198769
90000,5,0.1134855846563975
90000,7,0.11426195750633876
90000,9,0.11268392577767372
90000,11,0.11214820016175508
90000,13,0.11246955394744873
90000,15,0.11756235019614299
90000,17,0.11617315001785755
90000,19,0.11416057652483384
90000,21,0.11801013474663098
90000,23,0.11962077052642901
90000,25,0.12077764483789603
170000,1,0.2849183113624652
170000,3,0.25796315632760525
170000,5,0.25272230866054696
170000,7,0.23994863561044136
170000,9,0.24042022290329138
170000,11,0.2285321168601513
170000,13,0.24095600750297308
170000,15,0.24685795294741789
170000,17,0.2390659541512529
170000,19,0.2471515815705061
170000,21,0.2454407416904966
170000,23,0.24965643913795552
170000,25,0.2511355448514223
250000,1,0.4227078954378764
250000,3,0.40456427602718276
250000,5,0.3960795206949115
250000,7,0.36308083093414706
250000,9,0.3671500248213609
250000,11,0.37719620298594236
250000,13,0.37428603290269774
250000,15,0.39039376098662615
250000,17,0.41721792177607614
250000,19,0.4409480094909668
250000,21,0.3867934849113226
250000,23,0.38534125747780007
250000,25,0.37295055637756985
330000,1,0.6344471607978145
330000,3,0.5920721121753255
330000,5,0.579007041019698
330000,7,0.5216418228422602
330000,9,0.5277307983487844
330000,11,0.5110843249907097
330000,13,0.5470282969375452
330000,15,0.5281959492713213
330000,17,0.5329632551098863
330000,19,0.5398878253375491
330000,21,0.5384508222341537
330000,23,0.5668965174506108
330000,25,0.5524483354141315
410000,1,0.7820597148189942
410000,3,0.7341162816931804
410000,5,0.7191799043988188
410000,7,0.7075546998530626
410000,9,0.6481674859921137
410000,11,0.6710110390558839
410000,13,0.6943915157268444
410000,15,0.6556269731372595
410000,17,0.6536662314708034
410000,19,0.7206680330758294
410000,21,0.674418653982381
410000,23,0.7037015855312347
410000,25,0.6773677710443735
